stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1133,,"BUCKEYE RD & 4TH AVE",,  33.437050,-112.079262
1134,,"BUCKEYE RD & 51ST AVE",,  33.436497,-112.168503
1135,,"BUCKEYE RD & 54TH AVE",,  33.436695,-112.174507
1136,,"BUCKEYE RD & 56TH AVE",,  33.436695,-112.180206
1137,,"BUCKEYE RD & 59TH AVE",,  33.436794,-112.185707
1138,,"BUCKEYE RD & 63RD AVE",,  33.436993,-112.194809
1139,,"W BUCKEYE RD & S 67TH AV",,  33.437119,-112.203201
114,,"BELL RD & CENTRAL AVE",,  33.639992,-112.073509
1140,,"BUCKEYE RD & 7TH AVE",,  33.436691,-112.081810
1141,,"BUCKEYE RD & I-17 FWY",,  33.436691,-112.107307
1142,,"BUCKEYE RD & CENTRAL AVE",,  33.436749,-112.073616
1143,,"BUCKEYE RD & 21ST AVE",,  33.436684,-112.104004
1144,,"BUCKEYE RD & 10TH AVE",,  33.436722,-112.085983
1145,,"CACTUS RD & 37TH AVE",,  33.596191,-112.137306
1146,,"CACTUS RD & 44TH DR",,  33.596191,-112.153709
1147,,"CACTUS RD & 21ST AVE",,  33.596294,-112.103508
1148,,"CACTUS RD & 23RD AVE",,  33.596294,-112.107307
1149,,"CACTUS RD & 28TH DR",,  33.596191,-112.119705
115,,"BELL RD & TATUM BLVD",,  33.640427,-111.977203
1150,,"CACTUS RD & 31ST AVE",,  33.596195,-112.124809
1151,,"CACTUS RD & 33RD AVE",,  33.596191,-112.129005
1152,,"CACTUS RD & 35TH AVE",,  33.596195,-112.133202
1153,,"CACTUS RD & 39TH AVE",,  33.596191,-112.142006
1154,,"CACTUS RD & 41ST AVE",,  33.596191,-112.146309
1156,,"CACTUS RD & 43RD AVE",,  33.596191,-112.150505
1157,,"CACTUS RD & 45TH LN",,  33.596195,-112.156708
1158,,"CACTUS RD & 47TH AVE",,  33.595993,-112.159309
1159,,"CACTUS RD & 49TH AVE",,  33.596195,-112.163803
116,,"BELL RD -- 68TH WY & SCOTTSDALE RD",,  33.638695,-111.928703
1160,,"CACTUS RD & 51ST AVE",,  33.596195,-112.168007
1161,,"CACTUS RD & 25TH AVE",,  33.596294,-112.112503
1162,,"CAMELBACK RD & 47TH AVE",,  33.509296,-112.159706
1163,,"CAMELBACK RD & 11TH AVE",,  33.509182,-112.086227
1164,,"CAMELBACK RD & 15TH AVE",,  33.509239,-112.090302
1165,,"CAMELBACK RD & 17TH AVE",,  33.509285,-112.095200
1166,,"CAMELBACK RD & 19TH AVE",,  33.509331,-112.099312
1167,,"CAMELBACK RD & 21ST AVE",,  33.509495,-112.103806
1168,,"CAMELBACK RD & 23RD AVE",,  33.509296,-112.108002
1169,,"CAMELBACK RD & 27TH AVE",,  33.509293,-112.116302
117,,"BETHANY HOME RD & 10TH ST",,  33.523666,-112.060211
1170,,"CAMELBACK RD & 31ST AVE",,  33.509296,-112.125008
1171,,"CAMELBACK RD & 33RD AVE",,  33.509293,-112.129204
1172,,"CAMELBACK RD & 35TH AVE",,  33.509293,-112.133705
1173,,"CAMELBACK RD & 37TH AVE",,  33.509296,-112.137802
1174,,"CAMELBACK RD & 39TH AVE",,  33.509193,-112.142303
1175,,"CAMELBACK RD & 3RD AVE",,  33.509052,-112.077698
1176,,"CAMELBACK RD & 45TH AVE",,  33.509293,-112.155006
1177,,"CAMELBACK RD & 51ST AVE",,  33.509392,-112.167709
1178,,"CAMELBACK RD & 53RD AVE",,  33.509418,-112.172501
1179,,"CAMELBACK RD & 55TH AVE",,  33.509445,-112.177010
118,,"BETHANY HOME RD & 12TH ST",,  33.523663,-112.055916
1180,,"CAMELBACK RD & 57TH AVE",,  33.509460,-112.181740
1181,,"CAMELBACK RD & 59TH AVE",,  33.509480,-112.185806
1182,,"CAMELBACK RD & 61ST AVE",,  33.509434,-112.191101
1183,,"CAMELBACK RD & 63RD AVE",,  33.509293,-112.194710
1184,,"CAMELBACK RD & 7TH AVE",,  33.508995,-112.081795
1185,,"CAMELBACK RD & I-17 FWY",,  33.509293,-112.111008
1186,,"CAMELBACK RD & 43RD AVE",,  33.509319,-112.150833
1187,,"CAMELBACK RD & 40TH AVE",,  33.509193,-112.144806
1188,,"CAMELBACK RD & 29TH AVE",,  33.509293,-112.121506
1189,,"CAMELBACK RD & CENTRAL AVE",,  33.509151,-112.074196
119,,"BETHANY HOME RD & 13TH PL",,  33.523647,-112.052162
1193,,"CAMPBELL AVE & 67TH AVE",,  33.501984,-112.202003
1197,,"CHANDLER BLVD & EVERGREEN ST",,  33.306030,-111.854492
1199,,"CHANDLER BLVD & 56TH ST",,  33.305168,-111.962013
120,,"BETHANY HOME RD & 3RD ST",,  33.523693,-112.068810
1200,,"CHANDLER BLVD & ALMA SCHOOL RD",,  33.305889,-111.858208
1201,,"CHANDLER BLVD & BECK AVE",,  33.305134,-111.955505
1202,,"CHANDLER BLVD & CHANDLER VILLAGE DR",,  33.305412,-111.901718
1205,,"CHANDLER BLVD & DOBSON RD",,  33.305840,-111.875793
1206,,"CHANDLER BLVD & DRIFTWOOD AVE",,  33.305321,-111.934517
1207,,"CHANDLER BLVD & GALAXY DR",,  33.305260,-111.919502
1208,,"CHANDLER BLVD & GILA SPRINGS BLVD",,  33.305222,-111.941208
1209,,"CHANDLER BLVD & MCCLINTOCK DR",,  33.305229,-111.910706
121,,"BETHANY HOME RD & 7TH ST",,  33.523678,-112.064308
1210,,"CHANDLER BLVD & METRO BLVD",,  33.305588,-111.897202
1212,,"CHANDLER BLVD & PENNINGTON DR",,  33.305939,-111.871704
1213,,"CHANDLER BLVD & PRICE RD",,  33.305740,-111.892006
1214,,"CHANDLER BLVD & ROOSEVELT AVE",,  33.305180,-111.950714
1215,,"CHANDLER BLVD & RURAL RD",,  33.305351,-111.927826
1216,,"CHANDLER BLVD & TERRACE RD",,  33.305260,-111.923309
1217,,"CHANDLER BLVD & PARKLANE BLVD",,  33.305977,-111.863014
1218,,"CHANDLER BLVD & CARRIAGE LN",,  33.305847,-111.880051
122,,"BETHANY HOME RD & CENTRAL AVE",,  33.523712,-112.072998
1220,,"CHANDLER BLVD & ARROWHEAD DR",,  33.305931,-111.868309
1223,,"CHERYL DR & 33RD AVE",,  33.578053,-112.129478
