service_id,date,exception_type
FTOT14-Weekday-4-FTOT14-1101100,20141209,1
FTOT14-Weekday-4-FTOT14-1101100,20141211,1
FTOT14-Weekday-4-FTOT14-1101100,20141212,1
FTOT14-Weekday-4-FTOT14-1101100,20141215,1
FTOT14-Weekday-4-FTOT14-1101100,20141216,1
FTOT14-Weekday-4-FTOT14-1101100,20141218,1
FTOT14-Weekday-4-FTOT14-1101100,20141219,1
FTOT14-Weekday-4-FTOT14-1101100,20141222,1
FTOT14-Weekday-4-FTOT14-1101100,20141223,1
FTOT14-Weekday-4-FTOT14-1101100,20141226,1
FTOT14-Weekday-4-FTOT14-1101100,20141229,1
FTOT14-Weekday-4-FTOT14-1101100,20141230,1
FTOT14-Weekday-4-FTOT14-1101100,20150102,1
FTOT14-Weekday-4-FTOT14-1101100,20150105,1
FTOT14-Weekday-4-FTOT14-1101100,20150106,1
FTOT14-Weekday-4-FTOT14-1101100,20150108,1
FTOT14-Weekday-4-FTOT14-1101100,20150109,1
FTOT14-Weekday-4-FTOT14-1101100,20150112,1
FTOT14-Weekday-4-FTOT14-1101100,20150113,1
FTOT14-Weekday-4-FTOT14-1101100,20150115,1
FTOT14-Weekday-4-FTOT14-1101100,20150116,1
FTOT14-Weekday-4-FTOT14-1101100,20150120,1
FTOT14-Weekday-4-FTOT14-1101100,20150122,1
FTOT14-Weekday-4-FTOT14-1101100,20150123,1
FTOT14-Saturday-3-FTOT14-0000010,20141101,1
FTOT14-Saturday-3-FTOT14-0000010,20141108,1
FTOT14-Saturday-3-FTOT14-0000010,20141115,1
FTOT14-Saturday-3-FTOT14-0000010,20141122,1
FTOT14-Saturday-3-FTOT14-0000010,20141129,1
FTOT14-Saturday-3-FTOT14-0000010,20141206,1
FTOT14-Saturday-3-FTOT14-0000010,20141213,1
FTOT14-Saturday-3-FTOT14-0000010,20141220,1
FTOT14-Saturday-3-FTOT14-0000010,20141227,1
FTOT14-Saturday-3-FTOT14-0000010,20150103,1
FTOT14-Saturday-3-FTOT14-0000010,20150110,1
FTOT14-Saturday-3-FTOT14-0000010,20150117,1
FTOT14-Saturday-3-FTOT14-0000010,20150124,1
FTOT14-Sunday-4-FTOT14-0000001,20141102,1
FTOT14-Sunday-4-FTOT14-0000001,20141109,1
FTOT14-Sunday-4-FTOT14-0000001,20141111,1
FTOT14-Sunday-4-FTOT14-0000001,20141116,1
FTOT14-Sunday-4-FTOT14-0000001,20141123,1
FTOT14-Sunday-4-FTOT14-0000001,20141127,1
FTOT14-Sunday-4-FTOT14-0000001,20141128,1
FTOT14-Sunday-4-FTOT14-0000001,20141130,1
FTOT14-Sunday-4-FTOT14-0000001,20141207,1
FTOT14-Sunday-4-FTOT14-0000001,20141214,1
FTOT14-Sunday-4-FTOT14-0000001,20141221,1
FTOT14-Sunday-4-FTOT14-0000001,20141224,1
FTOT14-Sunday-4-FTOT14-0000001,20141225,1
FTOT14-Sunday-4-FTOT14-0000001,20141228,1
FTOT14-Sunday-4-FTOT14-0000001,20150101,1
FTOT14-Sunday-4-FTOT14-0000001,20150104,1
FTOT14-Sunday-4-FTOT14-0000001,20150111,1
FTOT14-Sunday-4-FTOT14-0000001,20150118,1
FTOT14-Sunday-4-FTOT14-0000001,20150119,1
FTOT14-Sunday-4-FTOT14-0000001,20150125,1
GLOT14-Weekday-1-GLOT14-1111100,20141027,1
GLOT14-Weekday-1-GLOT14-1111100,20141028,1
GLOT14-Weekday-1-GLOT14-1111100,20141029,1
GLOT14-Weekday-1-GLOT14-1111100,20141030,1
GLOT14-Weekday-1-GLOT14-1111100,20141031,1
GLOT14-Weekday-1-GLOT14-1111100,20141103,1
GLOT14-Weekday-1-GLOT14-1111100,20141104,1
GLOT14-Weekday-1-GLOT14-1111100,20141105,1
GLOT14-Weekday-1-GLOT14-1111100,20141106,1
GLOT14-Weekday-1-GLOT14-1111100,20141107,1
GLOT14-Weekday-1-GLOT14-1111100,20141110,1
GLOT14-Weekday-1-GLOT14-1111100,20141112,1
GLOT14-Weekday-1-GLOT14-1111100,20141113,1
GLOT14-Weekday-1-GLOT14-1111100,20141114,1
GLOT14-Weekday-1-GLOT14-1111100,20141117,1
GLOT14-Weekday-1-GLOT14-1111100,20141118,1
GLOT14-Weekday-1-GLOT14-1111100,20141119,1
GLOT14-Weekday-1-GLOT14-1111100,20141120,1
GLOT14-Weekday-1-GLOT14-1111100,20141121,1
GLOT14-Weekday-1-GLOT14-1111100,20141124,1
GLOT14-Weekday-1-GLOT14-1111100,20141125,1
GLOT14-Weekday-1-GLOT14-1111100,20141126,1
